id,year_month,uf,product,unit,volume,created_at
160,2014-01-01,MT,OLEO DIESEL S-10,m3,40309.371,2022-06-14 09:28:16.189637-03
161,2014-01-01,GO,OLEO DIESEL S-10,m3,50630.481,2022-06-14 09:28:16.189637-03
162,2014-01-01,DF,OLEO DIESEL S-10,m3,15254.853,2022-06-14 09:28:16.189637-03
163,2014-01-01,RO,OLEO DIESEL S-500,m3,59527.8,2022-06-14 09:28:16.189637-03
164,2014-01-01,AC,OLEO DIESEL S-500,m3,11907.08,2022-06-14 09:28:16.189637-03
165,2014-01-01,AM,OLEO DIESEL S-500,m3,23598.5,2022-06-14 09:28:16.189637-03
166,2014-01-01,RR,OLEO DIESEL S-500,m3,8780.2,2022-06-14 09:28:16.189637-03
167,2014-01-01,PA,OLEO DIESEL S-500,m3,109966.713,2022-06-14 09:28:16.189637-03
168,2014-01-01,AP,OLEO DIESEL S-500,m3,32269.1,2022-06-14 09:28:16.189637-03
169,2014-01-01,TO,OLEO DIESEL S-500,m3,49772.45,2022-06-14 09:28:16.189637-03
170,2014-01-01,MA,OLEO DIESEL S-500,m3,968961.419,2022-06-14 09:28:16.189637-03
171,2014-01-01,PI,OLEO DIESEL S-500,m3,36010.8,2022-06-14 09:28:16.189637-03
172,2014-01-01,CE,OLEO DIESEL S-500,m3,42096.5,2022-06-14 09:28:16.189637-03
173,2014-01-01,RN,OLEO DIESEL S-500,m3,54424.05,2022-06-14 09:28:16.189637-03
174,2014-01-01,PB,OLEO DIESEL S-500,m3,32443.66,2022-06-14 09:28:16.189637-03
175,2014-01-01,PE,OLEO DIESEL S-500,m3,88770.5,2022-06-14 09:28:16.189637-03
176,2014-01-01,AL,OLEO DIESEL S-500,m3,21169.4,2022-06-14 09:28:16.189637-03
177,2014-01-01,SE,OLEO DIESEL S-500,m3,18352.5,2022-06-14 09:28:16.189637-03
178,2014-01-01,BA,OLEO DIESEL S-500,m3,230482.933,2022-06-14 09:28:16.189637-03
179,2014-01-01,MG,OLEO DIESEL S-500,m3,499814.073,2022-06-14 09:28:16.189637-03
180,2014-01-01,ES,OLEO DIESEL S-500,m3,76565.994,2022-06-14 09:28:16.189637-03
181,2014-01-01,RJ,OLEO DIESEL S-500,m3,118600.961,2022-06-14 09:28:16.189637-03
182,2014-01-01,SP,OLEO DIESEL S-500,m3,648227.785,2022-06-14 09:28:16.189637-03
183,2014-01-01,PR,OLEO DIESEL S-500,m3,4120736.249,2022-06-14 09:28:16.189637-03
184,2014-01-01,SC,OLEO DIESEL S-500,m3,138683.52,2022-06-14 09:28:16.189637-03
185,2014-01-01,RS,OLEO DIESEL S-500,m3,249793.122,2022-06-14 09:28:16.189637-03
186,2014-01-01,MS,OLEO DIESEL S-500,m3,108645.1,2022-06-14 09:28:16.189637-03
187,2014-01-01,MT,OLEO DIESEL S-500,m3,205202.443,2022-06-14 09:28:16.189637-03
188,2014-01-01,GO,OLEO DIESEL S-500,m3,245885.068,2022-06-14 09:28:16.189637-03
189,2014-01-01,DF,OLEO DIESEL S-500,m3,23053.277,2022-06-14 09:28:16.189637-03
190,2014-01-01,RO,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
191,2014-01-01,AC,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
192,2014-01-01,AM,OLEO DIESEL S-1800,m3,64226.892,2022-06-14 09:28:16.189637-03
193,2014-01-01,RR,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
194,2014-01-01,PA,OLEO DIESEL S-1800,m3,5560.815,2022-06-14 09:28:16.189637-03
195,2014-01-01,AP,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
196,2014-01-01,TO,OLEO DIESEL S-1800,m3,20,2022-06-14 09:28:16.189637-03
197,2014-01-01,MA,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
198,2014-01-01,PI,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
199,2014-01-01,CE,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
200,2014-01-01,RN,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
201,2014-01-01,PB,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
202,2014-01-01,PE,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
203,2014-01-01,AL,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
204,2014-01-01,SE,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
205,2014-01-01,BA,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
206,2014-01-01,MG,OLEO DIESEL S-1800,m3,2658.18,2022-06-14 09:28:16.189637-03
207,2014-01-01,ES,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
208,2014-01-01,RJ,OLEO DIESEL S-1800,m3,931.017,2022-06-14 09:28:16.189637-03
209,2014-01-01,SP,OLEO DIESEL S-1800,m3,217410.257,2022-06-14 09:28:16.189637-03
210,2014-01-01,PR,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
211,2014-01-01,SC,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
212,2014-01-01,RS,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
213,2014-01-01,MS,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
214,2014-01-01,MT,OLEO DIESEL S-1800,m3,1155.24,2022-06-14 09:28:16.189637-03
215,2014-01-01,GO,OLEO DIESEL S-1800,m3,673.95,2022-06-14 09:28:16.189637-03
216,2014-01-01,DF,OLEO DIESEL S-1800,m3,0,2022-06-14 09:28:16.189637-03
217,2014-01-01,RO,OLEO DIESEL MARITIMO,m3,842.4,2022-06-14 09:28:16.189637-03
218,2014-01-01,AC,OLEO DIESEL MARITIMO,m3,55,2022-06-14 09:28:16.189637-03
219,2014-01-01,AM,OLEO DIESEL MARITIMO,m3,10470.421,2022-06-14 09:28:16.189637-03
220,2014-01-01,RR,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
221,2014-01-01,PA,OLEO DIESEL MARITIMO,m3,6713.9,2022-06-14 09:28:16.189637-03
222,2014-01-01,AP,OLEO DIESEL MARITIMO,m3,1754,2022-06-14 09:28:16.189637-03
223,2014-01-01,TO,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
224,2014-01-01,MA,OLEO DIESEL MARITIMO,m3,119,2022-06-14 09:28:16.189637-03
225,2014-01-01,PI,OLEO DIESEL MARITIMO,m3,255,2022-06-14 09:28:16.189637-03
226,2014-01-01,CE,OLEO DIESEL MARITIMO,m3,895,2022-06-14 09:28:16.189637-03
227,2014-01-01,RN,OLEO DIESEL MARITIMO,m3,530,2022-06-14 09:28:16.189637-03
228,2014-01-01,PB,OLEO DIESEL MARITIMO,m3,78,2022-06-14 09:28:16.189637-03
229,2014-01-01,PE,OLEO DIESEL MARITIMO,m3,627,2022-06-14 09:28:16.189637-03
230,2014-01-01,AL,OLEO DIESEL MARITIMO,m3,35,2022-06-14 09:28:16.189637-03
231,2014-01-01,SE,OLEO DIESEL MARITIMO,m3,125,2022-06-14 09:28:16.189637-03
232,2014-01-01,BA,OLEO DIESEL MARITIMO,m3,1471,2022-06-14 09:28:16.189637-03
233,2014-01-01,MG,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
234,2014-01-01,ES,OLEO DIESEL MARITIMO,m3,4592.052,2022-06-14 09:28:16.189637-03
235,2014-01-01,RJ,OLEO DIESEL MARITIMO,m3,331446.113,2022-06-14 09:28:16.189637-03
236,2014-01-01,SP,OLEO DIESEL MARITIMO,m3,3574,2022-06-14 09:28:16.189637-03
237,2014-01-01,PR,OLEO DIESEL MARITIMO,m3,525,2022-06-14 09:28:16.189637-03
238,2014-01-01,SC,OLEO DIESEL MARITIMO,m3,5540.449,2022-06-14 09:28:16.189637-03
